VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[haveAttorney\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [haveAttorney]","error_back_btn_haveAttorney"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[kopiop\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [kopiop]","error_back_btn_kopiop"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[choiceAccount\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [choiceAccount]","error_back_btn_choiceAccount"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[businessCard\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [businessCard]","error_back_btn_businessCard"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[branchselection\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [branchselection]","error_back_btn_branchselection"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[accountAddToCurrentSbbol\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [accountAddToCurrentSbbol]","error_back_btn_accountAddToCurrentSbbol"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[infoForClient\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [infoForClient]","error_back_btn_infoForClient"
"ru.sbrf.bh.banking.product.idcorp.web.handler.impl.unsorted.ErrorHandler.+java.lang.NullPointerException","Зарегистрирован дефект в Jira по данной проблеме IDCLUL-4155. Необходимо перелогиниться в СБОЛ ПРО (в одной вкладке браузера), очистив куки и повторить операцию. В случае повторного сбоя, обходное решение: проведение операции в АС ЕКС.","error_idcorp_npe"
"ERROR.+ru.sbrf.ufs.session.core.SdsException: Попытка конкурентного изменения сессионных данных","Зарегистрирован дефект в Jira по данной проблеме IDCLUL-4043. Планируется доработка прикладного программного обеспечения. Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","error_idcorp_write_lock"
"К сожалению, сервис временно недоступен. Повторите попытку позже.","Есть ошибка недоступности, нужно смотреть лог по совпадению: К сожалению, сервис временно недоступен","error_noresponse"
"VSPLE_CATALOG_UL_BH.+Ошибка получения данных из источника. Попытка получения данных из DeadCache.","Выполнено исправление на стороне ФП Каталог Продуктов ЮЛ. Необходимо повторить операцию.","error_catalog_ul_not_uniq_in_dict"
" Попытки закончились: 0.","Закончились попытки запросов к сервису ППРБ.ФСКК. Необходимо создать обращение на группу сопровождения ППРБ ФСКК (ДИТ КИБ Сопровождение кластера Расчетное обслуживание (Макагонов О.В.)), приложив лог запроса","error_fskk_notries"
"VSPLE_INDIVIDUAL_B.+Неперехваченная ошибка operationId.+ошибка: java.lang.NullPointerException","Ошибка связана с дефектом прикладного программного обеспечения. Зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4265 Исправление будет включено в ближайший релиз. Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию. В случае повторения ошибки, обходное решение: проведение операции в АС ЕКС.","error_vsple_individual_b_npe"
"VSPLE_ACCOUNT_OPENING_BH.+Network Error","По данной проблеме Зарегистрирован дефект https://jira.sberbank.ru/browse/ALTAIR-2120 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","accopen_network_error"
"Заполняем Отказ для MonitoringDto. Текст отказа: 'Бизнес отказ. В ЕГРЮЛ есть данные о дисквалификации ЕИО или ЕИО не соответствует ЕПК'","Бизнес отказ. В ЕГРЮЛ есть данные о дисквалификации ЕИО или ЕИО не соответствует ЕПК","error_business_eio_changed"
"Заполняем Отказ для MonitoringDto. Текст отказа: 'Бизнес отказ.","Бизнес отказ.","error_business"
""Проверки не пройдены. Информируйте Клиента:","Проверки не пройдены. Информируйте Клиента:","error_business_wrong_passport_data"
"У представителя Клиента нет полномочий на операции с данным Клиентом.","Проверки не пройдены. У представителя Клиента нет полномочий на операции с данным Клиентом. Дальнейшее обслуживание возможно только после добавления полномочий представителю Клиента. Если представитель по доверенности, необходимо перейти в процесс «Полномочия» для установки полномочий. Если представитель ЕИО, необходимо: Завести заявку в СберДруге - Сделайте снимок экрана - Перейдите в СберДруг: СБОЛ.ПРО на компьютере юридические лица – Вопросы проведения операции- Далее в Следопыте – Обслуживание клиентов – Операции юр.лиц – Тип операции – Исправление данных клиентов - Заполните дополнительную информацию в СберДруге и вложите снимок экрана. Завершить обслуживание возможно в уполномоченных офисах Банка с доступом в АС ЕКС.","error_business_representative_not_auth"
"VSPLE_IDCORP_BH.+Отказы по результату проверок с использованием Единого API [.+]","Generic Business Refusal","error_business"
VSPLE_ACCOUNT_OPENING_BH.+Текст ошибки,Generic ACCOPEN ERROR,error_accopen_generic
При проведении проверок ЮЛ возникла ошибка: ЕИО не могут отсутсвовать в ЕГР и в ЕПК Id ,"При проведении проверок ЮЛ возникла ошибка: ЕИО не могут отсутствовать в ЕГР и в ЕПК Id","error_business_eio_check_not_passed"
"Клиент находится в процедуре банкротства","Клиент находится в процедуре банкротства. Пока такие клиенты не обслуживаются в инструменте, но мы работаем над развитием сервиса. Для СКМ: Для дальнейшего обслуживания обратитесь к клиентскому менеджеру. Для КМ: Для дальнейшего обслуживания перейдите в АС ЕКС","error_business_bankrupcty"
"""code"":""TECHNICAL_ERROR"",""text"":""Невозможно предоставить результат по СФЛ-нерезиденту""","Бизнес-отказ. Невозможно предоставить результат по СФЛ-нерезиденту","error_business_not_resident"
"{}java.lang.NullPointerException: Ошибка при проверке поля в ФП Открытие счета, значение не должно быть 'null'. Поле: packageOfServiceId","Зарегистрирован дефект в Jira по данной проблеме ALTAIR-2193. Необходимо перелогиниться в СБОЛ ПРО (в одной вкладке браузера), очистив куки и повторить операцию. В случае повторного сбоя, обходное решение: проведение операции в АС ЕКС.","error_accopen_packageofserviceid_npe"
Данные ИП в выписке ЕГРИП не совпадают с данными в базе банка,"Данные ИП в выписке ЕГРИП не совпадают с данными в базе банка. Пока такие клиенты не обслуживаются в инструменте, но мы работаем над развитием сервиса. Для продолжения обслуживания перейдите в АС ЕКС",error_business_egrip_data_not_match
"Отсутствует информация о клиенте в едином государственном реестре ЮЛ и ИП","Отсутствует информация о клиенте в едином государственном реестре ЮЛ и ИП. Если клиент прекратил деятельность, проведение операций невозможно.Если организационно-правовая форма клиента отличается от ИП или ЮЛ (например, адвокат, нотариус, оценщик) или клиент - нерезидент, то для дальнейшего обслуживания необходимо перейти в АС ЕКС.","error_business_egr_no_data"
"VSPLE_IDCORP_BH.+ru.sbrf.ufs.platform.workflow.jaxrs.UnifiedErrorHandler - Exception with message \[for state \[organizationSearch\]","По данной проблеме Зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4381 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","error_idcorp_state_organizationSearch"
"VSPLE_INDIVIDUAL_B.+Запрос к ЕПК на создание связи обработан с ошибкой. Тело ответа:","По данной проблеме зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4382 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию. Также можно обратиться к группе сопровождения ППРБ ЕПК и ППК - ДИТ КИБ УРТ(Д) К360 (Юталь А.И.), предоставив следующие данные по запросу:","error_sfl_null_or_wrong_rq"
"VSPLE_INDIVIDUAL_B.+Попытка конкурентного изменения сессионных данных","По данной проблеме Зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4383 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","sfl_write_lock_error"
"Попытка конкурентного изменения сессионных данных.+subsystem=VSPLE_INDIVIDUAL_B","По данной проблеме Зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4383 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","sfl_write_lock_error"
"VSPLE_IDCORP_BH.+UFS_PLATFORM:REST_CLIENT:READ_TIMEOUT","По данной проблеме Зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4410 Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию.","error_idcorp_restclient_timeout"
"VSPLE_IDCORP_BH.+""code"":""10232"",""message"":""Message: TRANSPORT_ERROR","Ошибка вызвана высокой нагрузкой на канал. Необходимо перелогиниться в приложение (в одной вкладке браузера), очистив куки и повторить операцию. В случае повторения сбоя, просьба создать новое обращение и предоставить скриншоты ошибок и корректные файлы журналов","idcorp_transport_error"
"Техническая ошибка \= 120\:Ошибка интеграции с ППРБ\.ППК","Необходимо создать обращение на группу сопровождения ППРБ ППК (Юталь А.И.) для выяснения корневой причины сбоя, указав следующие данные:","techerror_120_ppk"
"VSPLE_ACCOUNT_OPENING_BH.+Получен ответ от ППРБ\.ФСКК Открытие счета\: \n{\n.+\n.+\n.+\n.+\n\s{2}""statusCode""\s\:\s""-1""","Проблема при запросе к сервису ППРБ.ФСКК во время открытия счета. Необходимо создать обращение на группу сопровождения ППРБ ФСКК (ДИТ КИБ Сопровождение кластера Расчетное обслуживание (Макагонов О.В.)), приложив лог запроса:","error_pprb_fskk"
"VSPLE_IDCORP_BH.+""status"":""ERROR"",""errors"":\[{""code"":""1004"",""message"":""No clients found.""","По данной проблеме зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4393 Планируется доработка прикладного программного обеспечения в течении 1ого квартала 2024. Обходные решения возможны со стороны ФП Бизнес карта.","epk_id_rb_get_npe"
"В ответе от ППРБ.Корзина получено некоррктное значение в поле ""vspNum""","error_basket_generic?","error_basket_generic"
"\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2},\d{3} INFO \[\/VSPLE_IDCORP_BH\/http-nio-8090-exec-\d{1,2}\].+\n.+\n.+\n.+\{""state"":""reject""\}","Generic reject","error_business_generic"
"VSPLE_INDIVIDUAL_B.+Запрос к ЕПК на поиск СФЛ обработан с ошибкой.","Generic SFL reject","sfl_generic_error"
"ERROR.+VSPLE_INDIVIDUAL_B.+Невалидный или неполный набор параметров для запроса в Stop List","По данной проблеме зарегистрирован дефект https://jira.sberbank.ru/browse/IDCLUL-4488 Планируется доработка прикладного программного обеспечения в течении 1ого квартала 2024.","error_sfl_stoplist_validation"
"Вызов API unableAction c errorPoint: sendDocToMail","Распечатайте, отсканируйте и подпишите документы. Войдите в АС ББМО Найдите задачу по ИНН («Поиск процессов»). Загрузите отсканированные документы и подпишите их ЭП. Нажмите «Принять», чтобы отправить документы в ОЦ","techerror_accopen_sendDocToMail"
"""rosstatStatus"":{""statusCode"":471,""statusDesc"":""Организация в Росстате не зарегистрирована""","Организация в Росстате не зарегистрирована","no_reg_rosstat"
"Бизнес-отказ \= Проверки ЕГР не пройдены \(ЕГР не совпадает с ЕПК\)","Проверки ЕГР не пройдены (ЕГР не совпадает с ЕПК)","error_business_egr_not_match_epk"
"Бизнес-отказ \= Представитель клиента не найден.","Представитель клиента не найден","error_business_representative_not_found"
"Бизнес-отказ \= Паспорт не найден в ЕПК","Паспорт не найден в ЕПК","error_business_passport_not_found_in_epk"
"Бизнес-отказ \= Проверки Росстат не пройдены,","Проверки Росстат не пройдены","error_business_rosstat_checks_not_passed"
"Бизнес-отказ \= Проверки паспорта не пройдены,","Проверки паспорта не пройдены","error_business_passport_checks_not_passed"
"Бизнес-отказ \= Иные отказы","Иные отказы","error_business_generic"
"Бизнес-отказ \= ЕПК \(связь\/полномочия\),","Проверки ЕПК не пройдены","error_business_epk_checks_not_passed"
"Бизнес-отказ \= У СФЛ нет полномочий.","У СФЛ нет полномочий","error_business_sfl_no_permissions"
"Бизнес-отказ \= Сервис Интерфакс-Банкротство не успел ответить","Сервис Интерфакс-Банкротство не успел ответить","error_business_ib_rq_timeout"
"Бизнес-отказ \= Паспорт представителя клиента находится в базе недействительных паспортов.","Паспорт представителя клиента находится в базе недействительных паспортов","error_business_passport_checks_not_passed"
"Бизнес-отказ \= Универсальный отказ","Универсальный отказ","error_business_generic"
"Бизнес-отказ \= Банкротство\/Ликвидация","Банкротство\/Ликвидация","error_business_bankrupcty"
"Бизнес-отказ \= Данные с ЭФ не совпадают с ЕГР,","Данные с ЭФ не совпадают с ЕГР","error_business_frontend_data_not_match_egr"
"Бизнес-отказ \= В карточке ИП\/ЮЛ другой ЕИО","В карточке ИП\/ЮЛ другой ЕИО","error_business_eio_check_not_passed"
"Бизнес-отказ \= Нереализованный функционал","Нереализованный функционал","error_business_generic"
"Бизнес-отказ \= Выбран иной документ.","Выбран иной документ.","error_business_generic"
"Бизнес отказ. В ФНС содержится информация о ликвидации организации","В ФНС содержится информация о ликвидации организации","error_business_org_removed"
"VSPLE_IDCORP_BH.+\n.+\n.+\n.+По данным выписки из ЕГР у клиента сменилась управляющая компания\/управляющий.","По данным выписки из ЕГР у клиента сменилась управляющая компания\/управляющий..+","error_business_egr_mgmt_company_changed"
"VSPLE_IDCORP_BH.+Ошибка клиентского взаимодействия по сервису:\n.+Наименование сервиса\:\s""SrvUnitedApiOrganization"".+","Сбой связи интеграции ЭлГО и сервисов гос.органов. Рекомендуются повторить операцию позже. Можно создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_pprb_timeout"
